"","week","count","GIDSTCO","Tot_Population_ACS_14_18","pct_URBANIZED_AREA_POP_CEN_2010","pct_Prs_Blw_Pov_Lev_ACS_14_18","pct_No_Health_Ins_ACS_14_18"
"824",1,33,19077,10674,-0.555872501853231,-0.692749030978877,-1.20051295037491
"3956",2,40,19077,10674,-0.555872501853231,-0.692749030978877,-1.20051295037491
"7088",3,42,19077,10674,-0.555872501853231,-0.692749030978877,-1.20051295037491
"825",1,52,19079,15110,-0.555872501853231,-0.91352321725001,-1.13804365793499
"3957",2,50,19079,15110,-0.555872501853231,-0.91352321725001,-1.13804365793499
"7089",3,53,19079,15110,-0.555872501853231,-0.91352321725001,-1.13804365793499
"826",1,30,19081,10888,-0.555872501853231,-1.16208716123359,-1.31336070445993
"3958",2,30,19081,10888,-0.555872501853231,-1.16208716123359,-1.31336070445993
"7090",3,57,19081,10888,-0.555872501853231,-1.16208716123359,-1.31336070445993
"827",1,125,19083,17127,-0.555872501853231,-1.18987691894604,-1.22066433503295
"3959",2,137,19083,17127,-0.555872501853231,-1.18987691894604,-1.22066433503295
"7091",3,93,19083,17127,-0.555872501853231,-1.18987691894604,-1.22066433503295
"828",1,41,19085,14143,-0.555872501853231,-0.85485595096817,-0.96474174987585
"3960",2,66,19085,14143,-0.555872501853231,-0.85485595096817,-0.96474174987585
"7092",3,38,19085,14143,-0.555872501853231,-0.85485595096817,-0.96474174987585
"829",1,79,19087,19926,-0.555872501853231,-0.743696920118369,-1.20051295037491
"3961",2,114,19087,19926,-0.555872501853231,-0.743696920118369,-1.20051295037491
"7093",3,103,19087,19926,-0.555872501853231,-0.743696920118369,-1.20051295037491
"830",1,30,19089,9264,-0.555872501853231,-0.567695121272851,-1.15819504259303
"3962",2,28,19089,9264,-0.555872501853231,-0.567695121272851,-1.15819504259303
"7094",3,19,19089,9264,-0.555872501853231,-0.567695121272851,-1.15819504259303
"831",1,49,19091,9566,-0.555872501853231,-0.601660380699179,-1.16827073492205
"3963",2,44,19091,9566,-0.555872501853231,-0.601660380699179,-1.16827073492205
"7095",3,42,19091,9566,-0.555872501853231,-0.601660380699179,-1.16827073492205
"832",1,39,19093,6916,-0.555872501853231,-0.791557058400922,-1.28716390440448
"3964",2,23,19093,6916,-0.555872501853231,-0.791557058400922,-1.28716390440448
"7096",3,28,19093,6916,-0.555872501853231,-0.791557058400922,-1.28716390440448
"833",1,77,19095,16207,-0.555872501853231,-1.14973615780584,-0.870030241983066
"3965",2,95,19095,16207,-0.555872501853231,-1.14973615780584,-0.870030241983066
"7097",3,61,19095,16207,-0.555872501853231,-1.14973615780584,-0.870030241983066
"834",1,64,19097,19395,-0.555872501853231,-0.498220726991725,-1.06952895009765
"3966",2,78,19097,19395,-0.555872501853231,-0.498220726991725,-1.06952895009765
"7098",3,58,19097,19395,-0.555872501853231,-0.498220726991725,-1.06952895009765
"835",1,167,19099,36891,-0.555872501853231,-0.896540587536846,-1.28917904287028
"3967",2,155,19099,36891,-0.555872501853231,-0.896540587536846,-1.28917904287028
"7099",3,139,19099,36891,-0.555872501853231,-0.896540587536846,-1.28917904287028
"836",1,77,19101,18077,-0.555872501853231,-0.221867025295691,-1.05945325776863
"3968",2,91,19101,18077,-0.555872501853231,-0.221867025295691,-1.05945325776863
"7100",3,85,19101,18077,-0.555872501853231,-0.221867025295691,-1.05945325776863
"837",1,399,19103,147001,1.89012212485426,0.338559755238723,-0.876075657380478
"3969",2,390,19103,147001,1.89012212485426,0.338559755238723,-0.876075657380478
"7101",3,362,19103,147001,1.89012212485426,0.338559755238723,-0.876075657380478
"838",1,78,19105,20568,-0.555872501853231,-0.845592698397354,-1.24484599662259
"3970",2,100,19105,20568,-0.555872501853231,-0.845592698397354,-1.24484599662259
"7102",3,66,19105,20568,-0.555872501853231,-0.845592698397354,-1.24484599662259
"839",1,52,19107,10200,-0.555872501853231,-0.800820310971739,-1.21864919656714
"3971",2,51,19107,10200,-0.555872501853231,-0.800820310971739,-1.21864919656714
"7103",3,72,19107,10200,-0.555872501853231,-0.800820310971739,-1.21864919656714
"840",1,96,19109,15075,-0.555872501853231,-0.899628338393785,-0.914363288230752
"3972",2,60,19109,15075,-0.555872501853231,-0.899628338393785,-0.914363288230752
"7104",3,51,19109,15075,-0.555872501853231,-0.899628338393785,-0.914363288230752
"841",1,153,19111,34541,-0.555872501853231,-0.0628478561633366,-1.07960464242667
"3973",2,180,19111,34541,-0.555872501853231,-0.0628478561633366,-1.07960464242667
"7105",3,164,19111,34541,-0.555872501853231,-0.0628478561633366,-1.07960464242667
"842",1,960,19113,222121,1.9723959436264,-0.944400725819399,-1.21663405810134
"3974",2,920,19113,222121,1.9723959436264,-0.944400725819399,-1.21663405810134
"7106",3,762,19113,222121,1.9723959436264,-0.944400725819399,-1.21663405810134
"843",1,54,19115,11223,-0.555872501853231,-0.694292906407347,-1.04534728850801
"3975",2,67,19115,11223,-0.555872501853231,-0.694292906407347,-1.04534728850801
"7107",3,41,19115,11223,-0.555872501853231,-0.694292906407347,-1.04534728850801
"844",1,50,19117,8597,-0.555872501853231,-0.56923899670132,-1.13602851946918
"3976",2,40,19117,8597,-0.555872501853231,-0.56923899670132,-1.13602851946918
"7108",3,53,19117,8597,-0.555872501853231,-0.56923899670132,-1.13602851946918
"845",1,33,19119,11769,-0.555872501853231,-1.65612729834382,-1.08968033475569
"3977",2,36,19119,11769,-0.555872501853231,-1.65612729834382,-1.08968033475569
"7109",3,49,19119,11769,-0.555872501853231,-1.65612729834382,-1.08968033475569
"846",1,57,19121,15890,-0.555872501853231,-1.38131747207626,-1.2992547351993
"3978",2,61,19121,15890,-0.555872501853231,-1.38131747207626,-1.2992547351993
"7110",3,45,19121,15890,-0.555872501853231,-1.38131747207626,-1.2992547351993
"847",1,112,19123,22208,-0.555872501853231,-0.184814015012424,-1.13804365793499
"3979",2,73,19123,22208,-0.555872501853231,-0.184814015012424,-1.13804365793499
"7111",3,111,19123,22208,-0.555872501853231,-0.184814015012424,-1.13804365793499
"848",1,197,19125,33207,-0.555872501853231,-0.91197934182154,-1.26701251974644
"3980",2,150,19125,33207,-0.555872501853231,-0.91197934182154,-1.26701251974644
"7112",3,128,19125,33207,-0.555872501853231,-0.91197934182154,-1.26701251974644
"849",1,145,19127,40271,-0.555872501853231,-0.734433667547553,-0.706804026252949
"3981",2,227,19127,40271,-0.555872501853231,-0.734433667547553,-0.706804026252949
"7113",3,209,19127,40271,-0.555872501853231,-0.734433667547553,-0.706804026252949
"850",1,49,19129,14957,-0.555872501853231,-1.08334951438165,-1.06549867316605
"3982",2,30,19129,14957,-0.555872501853231,-1.08334951438165,-1.06549867316605
"7114",3,31,19129,14957,-0.555872501853231,-1.08334951438165,-1.06549867316605
"851",1,27,19131,10631,-0.555872501853231,-1.01387512010052,-0.48110851808291
"3983",2,45,19131,10631,-0.555872501853231,-1.01387512010052,-0.48110851808291
"7115",3,76,19131,10631,-0.555872501853231,-1.01387512010052,-0.48110851808291
"852",1,25,19133,8796,-0.555872501853231,0.0128020398316668,-0.823682057269576
"3984",2,43,19133,8796,-0.555872501853231,0.0128020398316668,-0.823682057269576
"7116",3,25,19133,8796,-0.555872501853231,0.0128020398316668,-0.823682057269576
"853",1,39,19135,7863,-0.555872501853231,-0.610923633269996,-0.495214487343537
"3985",2,47,19135,7863,-0.555872501853231,-0.610923633269996,-0.495214487343537
"7117",3,45,19135,7863,-0.555872501853231,-0.610923633269996,-0.495214487343537
"854",1,60,19137,10155,-0.555872501853231,0.0776448078273844,-1.24484599662259
"3986",2,57,19137,10155,-0.555872501853231,0.0776448078273844,-1.24484599662259
"7118",3,34,19137,10155,-0.555872501853231,0.0776448078273844,-1.24484599662259
"855",1,267,19139,42950,-0.555872501853231,-0.816259065256434,-1.22267947349875
"3987",2,204,19139,42950,-0.555872501853231,-0.816259065256434,-1.22267947349875
"7119",3,132,19139,42950,-0.555872501853231,-0.816259065256434,-1.22267947349875
"856",1,17,19141,13911,-0.555872501853231,-0.919698718963888,-1.06751381163185
"3988",2,16,19141,13911,-0.555872501853231,-0.919698718963888,-1.06751381163185
"7120",3,22,19141,13911,-0.555872501853231,-0.919698718963888,-1.06751381163185
"857",1,6,19143,6115,-0.555872501853231,-0.555344117845095,-0.894211903572713
"3989",2,10,19143,6115,-0.555872501853231,-0.555344117845095,-0.894211903572713
"7121",3,18,19143,6115,-0.555872501853231,-0.555344117845095,-0.894211903572713
"858",1,37,19145,15363,-0.555872501853231,-0.621730761269282,-1.0413170115764
"3990",2,41,19145,15363,-0.555872501853231,-0.621730761269282,-1.0413170115764
"7122",3,49,19145,15363,-0.555872501853231,-0.621730761269282,-1.0413170115764
"859",1,55,19147,9055,-0.555872501853231,-1.3890368492186,-0.996983965328713
"3991",2,34,19147,9055,-0.555872501853231,-1.3890368492186,-0.996983965328713
"7123",3,26,19147,9055,-0.555872501853231,-1.3890368492186,-0.996983965328713
"860",1,81,19149,25039,-0.553170077149037,-1.0200506218144,-1.11587713481114
"3992",2,81,19149,25039,-0.553170077149037,-1.0200506218144,-1.11587713481114
"7124",3,63,19149,25039,-0.553170077149037,-1.0200506218144,-1.11587713481114
"861",1,52,19151,6898,-0.555872501853231,-0.51057173041948,-1.03930187311059
"3993",2,36,19151,6898,-0.555872501853231,-0.51057173041948,-1.03930187311059
"7125",3,16,19151,6898,-0.555872501853231,-0.51057173041948,-1.03930187311059
"862",1,1905,19153,474274,2.27566804931933,-0.694292906407347,-0.956681196012634
"3994",2,2100,19153,474274,2.27566804931933,-0.694292906407347,-0.956681196012634
"7126",3,1668,19153,474274,2.27566804931933,-0.694292906407347,-0.956681196012634
"863",1,347,19155,93503,1.65350982853147,-0.705100034406633,-0.724940272445184
"3995",2,311,19155,93503,1.65350982853147,-0.705100034406633,-0.724940272445184
"7127",3,238,19155,93503,1.65350982853147,-0.705100034406633,-0.724940272445184
"864",1,67,19157,18605,-0.555872501853231,-0.868750829824396,-0.785394426419301
"3996",2,78,19157,18605,-0.555872501853231,-0.868750829824396,-0.785394426419301
